match_date,group,team,opponent,player,position,minutes,goals,assists,shots,xg,xa,key_passes,rating,big_chances,source,source_url,quality_flag
2026-06-13,D,Paraguay,USA,Diego GÓMEZ,MF,80,0,0,4,0.2,,0,6.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Andrés CUBAS,MF,90,0,0,,,,0,6.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Damián BOBADILLA,MF,45,0,0,,,,0,5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Miguel ALMIRÓN,FW,79,0,0,2,0.07,0.02,2,7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Julio ENCISO,MF,90,0,1,2,0.05,0.09,1,7.8,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Antonio SANABRIA,FW,62,0,0,,,0.1,1,5.7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,MAURICIO,MF,45,1,0,1,0.22,,0,7.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-13,D,Paraguay,USA,Álex ARCE,FW,28,0,0,,,0.01,1,6,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,ok
2026-06-14,B,Qatar,Switzerland,Mahmud ABUNADA,GK,90,0,0,,,,,7.7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Ayoub AL OUI,DF,60,0,0,,,,0,6.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Pedro MIGUEL,DF,90,0,0,,,0.01,0,7.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Boualem KHOUKHI,DF,90,0,0,,,,0,6.9,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Homam ELAMIN,DF,90,0,0,1,0.01,0.01,0,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Jassem GABER,MF,60,0,0,,,,0,6.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
