option,advancing_groups,eliminated_groups,vs_1A,vs_1B,vs_1D,vs_1E,vs_1G,vs_1I,vs_1K,vs_1L
291,ABFGHIJL,CDEK,3H,3J,3B,3F,3A,3G,3L,3I
292,ABFGHIJK,CDEL,3H,3J,3B,3F,3A,3G,3I,3K
293,ABEHIJKL,CDFG,3E,3J,3B,3A,3I,3H,3L,3K
294,ABEGIJKL,CDFH,3E,3J,3B,3A,3I,3G,3L,3K
295,ABEGHJKL,CDFI,3E,3J,3B,3A,3H,3G,3L,3K
296,ABEGHIKL,CDFJ,3E,3G,3B,3A,3I,3H,3L,3K
297,ABEGHIJL,CDFK,3E,3J,3B,3A,3H,3G,3L,3I
298,ABEGHIJK,CDFL,3E,3J,3B,3A,3H,3G,3I,3K
299,ABEFIJKL,CDGH,3E,3J,3B,3A,3I,3F,3L,3K
300,ABEFHJKL,CDGI,3E,3J,3B,3F,3A,3H,3L,3K
301,ABEFHIKL,CDGJ,3E,3I,3B,3F,3A,3H,3L,3K
302,ABEFHIJL,CDGK,3E,3J,3B,3F,3A,3H,3L,3I
303,ABEFHIJK,CDGL,3E,3J,3B,3F,3A,3H,3I,3K
304,ABEFGJKL,CDHI,3E,3J,3B,3F,3A,3G,3L,3K
305,ABEFGIKL,CDHJ,3E,3G,3B,3A,3I,3F,3L,3K
306,ABEFGIJL,CDHK,3E,3J,3B,3F,3A,3G,3L,3I
307,ABEFGIJK,CDHL,3E,3J,3B,3F,3A,3G,3I,3K
308,ABEFGHKL,CDIJ,3E,3G,3B,3F,3A,3H,3L,3K
309,ABEFGHJL,CDIK,3H,3J,3B,3F,3A,3G,3L,3E
310,ABEFGHJK,CDIL,3H,3J,3B,3F,3A,3G,3E,3K
311,ABEFGHIL,CDJK,3E,3G,3B,3F,3A,3H,3L,3I
312,ABEFGHIK,CDJL,3E,3G,3B,3F,3A,3H,3I,3K
313,ABEFGHIJ,CDKL,3H,3J,3B,3F,3A,3G,3E,3I
314,ABDHIJKL,CEFG,3I,3J,3B,3D,3A,3H,3L,3K
315,ABDGIJKL,CEFH,3I,3J,3B,3D,3A,3G,3L,3K
316,ABDGHJKL,CEFI,3H,3J,3B,3D,3A,3G,3L,3K
317,ABDGHIKL,CEFJ,3I,3G,3B,3D,3A,3H,3L,3K
318,ABDGHIJL,CEFK,3H,3J,3B,3D,3A,3G,3L,3I
319,ABDGHIJK,CEFL,3H,3J,3B,3D,3A,3G,3I,3K
320,ABDFIJKL,CEGH,3I,3J,3B,3D,3A,3F,3L,3K
321,ABDFHJKL,CEGI,3H,3J,3B,3D,3A,3F,3L,3K
322,ABDFHIKL,CEGJ,3H,3I,3B,3D,3A,3F,3L,3K
323,ABDFHIJL,CEGK,3H,3J,3B,3D,3A,3F,3L,3I
324,ABDFHIJK,CEGL,3H,3J,3B,3D,3A,3F,3I,3K
325,ABDFGJKL,CEHI,3F,3J,3B,3D,3A,3G,3L,3K
326,ABDFGIKL,CEHJ,3I,3G,3B,3D,3A,3F,3L,3K
327,ABDFGIJL,CEHK,3F,3J,3B,3D,3A,3G,3L,3I
328,ABDFGIJK,CEHL,3F,3J,3B,3D,3A,3G,3I,3K
329,ABDFGHKL,CEIJ,3H,3G,3B,3D,3A,3F,3L,3K
330,ABDFGHJL,CEIK,3H,3G,3B,3D,3A,3F,3L,3J
331,ABDFGHJK,CEIL,3H,3G,3B,3D,3A,3F,3J,3K
332,ABDFGHIL,CEJK,3H,3G,3B,3D,3A,3F,3L,3I
333,ABDFGHIK,CEJL,3H,3G,3B,3D,3A,3F,3I,3K
334,ABDFGHIJ,CEKL,3H,3G,3B,3D,3A,3F,3I,3J
335,ABDEIJKL,CFGH,3E,3J,3B,3A,3I,3D,3L,3K
336,ABDEHJKL,CFGI,3E,3J,3B,3D,3A,3H,3L,3K
337,ABDEHIKL,CFGJ,3E,3I,3B,3D,3A,3H,3L,3K
338,ABDEHIJL,CFGK,3E,3J,3B,3D,3A,3H,3L,3I
339,ABDEHIJK,CFGL,3E,3J,3B,3D,3A,3H,3I,3K
