match_id,home_team,away_team,group_pressure_home,group_pressure_away,pressure_type_home,pressure_type_away,state_reason_code_home,state_reason_code_away,runtime_incentive_used,home_route_preference_label,away_route_preference_label,home_first_place_utility,away_first_place_utility,home_second_place_utility,away_second_place_utility,home_draw_acceptance_modifier,away_draw_acceptance_modifier,home_late_push_modifier,away_late_push_modifier,home_rotation_modifier,away_rotation_modifier,draw_utility_home,draw_utility_away,attack_conversion_home,attack_conversion_away,must_win_no_convert_home,must_win_no_convert_away,early_goal_cascade_index,cascade_tail_active,favorite,underdog,cold_draw_guard_score,cold_guard_active,deep_handicap_contra_flag,data_quality_score,data_quality_grade,active_flags
WC2026-I62,Senegal,Iraq,0.5254,0.6047,must_win,must_win,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,false,,,,,,,,,,,,,0.1,0.1,0.3574,0.3499,true,true,0.5015,false,Senegal,Iraq,0.5235,false,false,0.5,degraded,must_win_no_convert_home;must_win_no_convert_away
WC2026-G63,Egypt,Iran,0.2809,0.2388,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,false,,,,,,,,,,,,,0.3,0.3,0.324,0.3525,false,false,0.4257,false,Iran,Egypt,0.5345,false,false,0.5,degraded,
WC2026-G64,New Zealand,Belgium,0.2642,0.2651,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,false,,,,,,,,,,,,,0.3,0.3,0.355,0.3139,false,false,0.4344,false,Belgium,New Zealand,0.5422,false,false,0.5,degraded,
WC2026-H65,Cape Verde,Saudi Arabia,0.2809,0.2388,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,false,,,,,,,,,,,,,0.3,0.3,0.2263,0.3604,false,false,0.4328,false,Saudi Arabia,Cape Verde,0.5329,false,false,0.5,degraded,
WC2026-H66,Uruguay,Spain,0.2642,0.2651,low_pressure,low_pressure,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,false,,,,,,,,,,,,,0.3,0.3,0.2812,0.2372,false,false,0.4723,false,Spain,Uruguay,0.5576,false,false,0.5,degraded,
WC2026-L67,Panama,England,0.518,0,must_win,draw_ok,R2_ZERO_POINTS_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.1,0.75,0.2411,0.3821,true,false,0.5364,false,England,Panama,0.5186,false,false,0.5,degraded,must_win_no_convert_home
WC2026-L68,Croatia,Ghana,0.5496,0,must_win,draw_ok,R2_ZERO_POINTS_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.1,0.75,0.3483,0.3572,true,false,0.3849,false,Croatia,Ghana,0.5578,false,false,0.5,degraded,must_win_no_convert_home
WC2026-J69,Algeria,Austria,0.6047,0,must_win,draw_ok,R2_ZERO_POINTS_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.1,0.75,0.2272,0.385,true,false,0.5802,false,Austria,Algeria,0.518,false,false,0.5,degraded,must_win_no_convert_home
WC2026-J70,Jordan,Argentina,0.5237,0,must_win,draw_ok,R2_ZERO_POINTS_SURVIVAL,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,false,,,,,,,,,,,,,0.1,0.75,0.3286,0.3672,true,false,0.4978,false,Argentina,Jordan,0.5216,false,false,0.5,degraded,must_win_no_convert_home
WC2026-K71,Colombia,Portugal,0.2988,0.474,low_pressure,must_win,CONTROL_DESTINY,MUST_WIN_SURVIVAL,false,,,,,,,,,,,,,0.3,0.1,0.3637,0.3521,false,true,0.4644,false,Portugal,Colombia,0.5346,false,false,0.5,degraded,must_win_no_convert_away
WC2026-K72,DR Congo,Uzbekistan,0.458,0.5378,must_win,must_win,MUST_WIN_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,false,,,,,,,,,,,,,0.1,0.1,0.3555,0.3618,true,true,0.4603,false,DR Congo,Uzbekistan,0.5239,false,false,0.5,degraded,must_win_no_convert_home;must_win_no_convert_away
