match_id,team,opponent,points_before,gd_before,rank_before,win_necessity,draw_utility,loss_damage,first_place_incentive,second_place_safety,third_place_safety,opponent_path_risk,group_pressure_index,pressure_type,state_reason_code,p_finish_1,p_finish_2,p_finish_3,p_finish_4,p_top2,p_best8_third,p_advance
WC2026-B52,Bosnia and Herzegovina,Qatar,1,-3,3,0.7325,0.1,0.8673,0,0,0.3827,0.45,0.5164,must_win,MUST_WIN_SURVIVAL,0,0,0.6667,0.3333,0,0.3827,0.3827
WC2026-B52,Qatar,Bosnia and Herzegovina,1,-6,4,0.7325,0.1,1,0,0,0.1913,0.45,0.5496,must_win,MUST_WIN_SURVIVAL,0,0,0.3333,0.6667,0,0.1913,0.1913
WC2026-A53,Czechia,Mexico,1,-1,3,0.7325,0.1,0.773,0,0.1111,0.3659,0.45,0.4929,must_win,MUST_WIN_SURVIVAL,0,0.1111,0.5556,0.3333,0.1111,0.3659,0.477
WC2026-A53,Mexico,Czechia,6,3,1,0.15,0.75,0,1,1,0,0.45,0.0425,draw_ok,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,1,0,0,0,1,0,1
WC2026-A54,South Africa,South Korea,1,-2,4,0.7325,0.1,0.8764,0,0.2222,0.1514,0.45,0.5187,must_win,MUST_WIN_SURVIVAL,0,0.2222,0.2222,0.5556,0.2222,0.1514,0.3736
WC2026-A54,South Korea,South Africa,3,0,2,0.42,0.45,0.4319,0,0.6667,0.1514,0.45,0.162,low_pressure,R2_THREE_POINTS_DRAW_TO_FOUR,0,0.6667,0.2222,0.1111,0.6667,0.1514,0.8181
WC2026-E55,Curacao,Ivory Coast,1,-6,4,0.7325,0.1,0.8795,0,0.2222,0.1483,0.45,0.5195,must_win,MUST_WIN_SURVIVAL,0,0.2222,0.2222,0.5556,0.2222,0.1483,0.3705
WC2026-E55,Ivory Coast,Curacao,3,0,2,0.42,0.45,0.435,0,0.6667,0.1483,0.45,0.1628,low_pressure,R2_THREE_POINTS_DRAW_TO_FOUR,0,0.6667,0.2222,0.1111,0.6667,0.1483,0.815
WC2026-E56,Ecuador,Germany,1,-1,3,0.7325,0.1,0.773,0,0.1111,0.3659,0.45,0.4929,must_win,MUST_WIN_SURVIVAL,0,0.1111,0.5556,0.3333,0.1111,0.3659,0.477
WC2026-E56,Germany,Ecuador,6,7,1,0.15,0.75,0,1,1,0,0.45,0.0425,draw_ok,QUALIFICATION_SECURE_ROUTE_OPT_ALLOWED,1,0,0,0,1,0,1
WC2026-F57,Japan,Sweden,4,4,2,0.5,0.55,0.0508,0.3333,0.6667,0.2825,0.45,0.1394,draw_ok,FOUR_POINTS_NOT_CLINCHED,0.3333,0.3333,0.3333,0,0.6667,0.2825,0.9492
WC2026-F57,Sweden,Japan,3,0,3,0.5875,0.25,0.1016,0.2222,0.3333,0.5651,0.45,0.2592,low_pressure,R3_BEST_THIRD_GD_CHASE,0.2222,0.1111,0.6667,0,0.3333,0.5651,0.8984
WC2026-F58,Tunisia,Netherlands,0,-8,4,0.25,0.3,1,0,0,0,0.45,0.2725,low_pressure,ELIMINATED_ALL_SCENARIOS,0,0,0,1,0,0,0
