matchNumStr,matchKey,matchDate,homeTeam,awayTeam,homeTeamEn,awayTeamEn,homeTeamCode,awayTeamCode,homeTeamOddsName,awayTeamOddsName,score,code,sp
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,3:1,s03s01,11.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,3:2,s03s02,27.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,3:3,s03s03,75.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,4:0,s04s00,26.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,4:1,s04s01,28.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,4:2,s04s02,60.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,5:0,s05s00,70.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,5:1,s05s01,75.00
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,5:2,s05s02,150.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,负其他,s1sa,250.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,平其他,s1sd,400.0
周一041,ARG-AUT,2026-06-23,阿根廷,奥地利,Argentina,Austria,ARG,AUT,阿根廷,奥地利,胜其他,s1sh,50.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,0:0,s00s00,32.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,0:1,s00s01,60.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,0:2,s00s02,200.0
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,0:3,s00s03,600.0
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,0:4,s00s04,1000
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,0:5,s00s05,1000
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,1:0,s01s00,9.50
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,1:1,s01s01,18.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,1:2,s01s02,65.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,1:3,s01s03,400.0
